Pattern         		
IR_J-150_130    	ND_J-150_130    	Meter_J-150_130    
IR_J-150_150    	ND_J-150_150    	Meter_J-150_150    
IR_J-150_170    	ND_J-150_170    	Meter_J-150_170    
IR_J-150_190    	ND_J-150_190    	Meter_J-150_190    
IR_J-150_210    	ND_J-150_210    	Meter_J-150_210    
IR_J-150_230    	ND_J-150_230    	Meter_J-150_230    
IR_J-150_250    	ND_J-150_250    	Meter_J-150_250    
IR_J-150_270    	ND_J-150_270    	Meter_J-150_270    
IR_J-150_290    	ND_J-150_290    	Meter_J-150_290    
IR_J-150_310    	ND_J-150_310    	Meter_J-150_310    
IR_J-150_330    	ND_J-150_330    	Meter_J-150_330    
IR_J-150_350    	ND_J-150_350    	Meter_J-150_350    
IR_J-242_10     	ND_J-242_10     	Meter_J-242_10     
IR_J-242_30     	ND_J-242_30     	Meter_J-242_30     
IR_J-242_50     	ND_J-242_50     	Meter_J-242_50     
IR_J-242_70     	ND_J-242_70     	Meter_J-242_70     
IR_J-242_90     	ND_J-242_90     	Meter_J-242_90     
IR_J-242_110    	ND_J-242_110    	Meter_J-242_110    
IR_J-242_130    	ND_J-242_130    	Meter_J-242_130    
IR_J-242_150    	ND_J-242_150    	Meter_J-242_150    
IR_J-242_170    	ND_J-242_170    	Meter_J-242_170    
IR_J-242_190    	ND_J-242_190    	Meter_J-242_190    
IR_J-242_210    	ND_J-242_210    	Meter_J-242_210    
IR_J-242_230    	ND_J-242_230    	Meter_J-242_230    
IR_J-242_250    	ND_J-242_250    	Meter_J-242_250    
IR_J-242_270    	ND_J-242_270    	Meter_J-242_270    
IR_J-242_290    	ND_J-242_290    	Meter_J-242_290    
IR_J-242_310    	ND_J-242_310    	Meter_J-242_310    
IR_J-242_330    	ND_J-242_330    	Meter_J-242_330    
IR_J-242_350    	ND_J-242_350    	Meter_J-242_350    
IR_J-189_10     	ND_J-189_10     	Meter_J-189_10     
IR_J-189_30     	ND_J-189_30     	Meter_J-189_30     
IR_J-189_50     	ND_J-189_50     	Meter_J-189_50     
IR_J-189_70     	ND_J-189_70     	Meter_J-189_70     
IR_J-189_90     	ND_J-189_90     	Meter_J-189_90     
IR_J-189_110    	ND_J-189_110    	Meter_J-189_110    
IR_J-189_130    	ND_J-189_130    	Meter_J-189_130    
IR_J-189_150    	ND_J-189_150    	Meter_J-189_150    
IR_J-189_170    	ND_J-189_170    	Meter_J-189_170    
IR_J-189_190    	ND_J-189_190    	Meter_J-189_190    
IR_J-189_210    	ND_J-189_210    	Meter_J-189_210    
IR_J-189_230    	ND_J-189_230    	Meter_J-189_230    
